Date,JD(TCB),averagemag
2014-09-19 02:49:08,2456919.61745,untrusted
2014-09-26 06:15:25,2456926.76071,untrusted
2014-10-25 13:51:01,2456956.07709,untrusted
2015-02-16 11:41:44,2457069.98731,untrusted
2015-02-16 13:28:18,2457070.06132,13.14
2015-03-16 23:26:13,2457098.47654,13.15
2015-03-17 01:12:46,2457098.55053,13.14
2015-05-25 23:44:31,2457168.48925,null
2015-05-26 03:58:15,2457168.66545,null
2015-05-26 05:45:00,2457168.73958,null
2015-05-26 09:58:44,2457168.91579,null
2015-05-31 22:02:45,2457174.41858,13.15
2015-05-31 23:49:19,2457174.49258,13.12
2015-06-01 04:02:59,2457174.66874,13.15
2015-06-01 05:49:33,2457174.74274,13.12
2015-07-21 10:07:03,2457224.92156,13.16
2015-07-21 14:20:44,2457225.09773,13.17
2015-07-31 20:28:01,2457235.35279,13.17
2015-07-31 22:14:35,2457235.42679,13.17
2015-09-11 07:30:20,2457276.81273,13.17
2015-09-11 09:16:54,2457276.88674,13.17
2015-11-05 21:02:09,2457332.37649,13.15
2015-11-06 01:15:50,2457332.55266,13.17
2016-01-07 01:11:56,2457394.54995,13.17
2016-01-07 07:12:10,2457394.80012,13.17
2016-01-07 13:12:25,2457395.05029,13.17
2016-01-07 19:12:39,2457395.30045,13.17
2016-01-08 01:12:53,2457395.55061,13.17
2016-01-08 07:13:07,2457395.80078,13.17
2016-01-08 13:13:36,2457396.05111,null
2016-01-08 19:13:35,2457396.30110,13.17
2016-01-09 01:13:49,2457396.55126,13.17
2016-01-09 07:14:04,2457396.80144,13.17
2016-02-27 18:50:58,2457446.28539,null
2016-02-27 20:37:07,2457446.35911,13.16
2016-03-30 06:22:47,2457477.76582,13.15
2016-03-30 08:09:20,2457477.83981,13.17
2016-04-22 00:16:06,2457500.51118,13.16
2016-07-30 11:04:58,2457599.96178,13.15
2016-08-14 09:25:32,2457614.89273,13.18
2016-08-14 11:12:07,2457614.96675,untrusted
2016-09-21 14:39:17,2457653.11061,13.15
2016-09-21 16:25:51,2457653.18462,13.14
2016-10-25 04:06:06,2457686.67090,13.15
2016-11-16 04:13:23,2457708.67596,13.14
2016-11-16 08:27:04,2457708.85213,13.14
2017-01-14 08:19:20,2457767.84676,13.15
2017-01-14 10:05:54,2457767.92076,13.14
2017-01-14 14:19:33,2457768.09691,13.16
2017-01-14 16:06:07,2457768.17091,13.15
2017-01-29 16:15:10,2457783.17720,13.16
2017-01-29 20:28:50,2457783.35336,13.15
2017-01-29 22:15:23,2457783.42735,13.15
2017-01-30 02:29:03,2457783.60351,13.17
2017-04-13 10:27:28,2457856.93574,13.15
2017-05-02 14:40:43,2457876.11161,13.16
2017-08-09 19:28:26,2457975.31141,13.15
2017-08-09 23:42:06,2457975.48757,13.15
2017-08-28 17:45:58,2457994.24025,13.15
2017-10-02 23:11:40,2458029.46644,13.16
2017-10-03 00:58:15,2458029.54045,13.15
2017-11-10 16:49:08,2458068.20079,13.15
2017-11-10 18:35:42,2458068.27479,untrusted
2017-11-27 00:46:40,2458084.53241,13.16
2017-11-27 05:00:20,2458084.70856,13.16
2017-11-27 06:46:55,2458084.78258,13.15
2017-11-27 11:00:35,2458084.95874,13.15
2018-01-25 04:51:30,2458143.70243,13.20
2018-01-25 06:38:04,2458143.77644,13.15
2018-01-25 10:51:43,2458143.95258,13.15
2018-01-25 12:38:17,2458144.02659,13.16
2018-02-15 10:56:18,2458164.95576,13.16
2018-02-15 12:42:52,2458165.02977,13.16
2018-03-21 06:15:16,2458198.76060,untrusted
2018-04-27 15:36:17,2458236.15020,13.15
2018-05-12 21:40:30,2458251.40313,13.17
2018-05-12 23:27:04,2458251.47713,untrusted
2018-08-20 12:45:38,2458351.03169,13.15
2018-08-20 14:32:12,2458351.10569,13.15
2018-09-12 00:44:32,2458373.53093,13.18
2018-09-12 02:31:06,2458373.60493,13.15
2018-10-14 08:08:41,2458405.83936,13.16
2018-10-14 12:22:22,2458406.01553,13.14
2018-11-30 18:03:47,2458453.25263,13.16
2018-12-01 00:04:02,2458453.50280,13.14
2018-12-01 01:50:37,2458453.57682,untrusted
2018-12-01 06:04:17,2458453.75297,untrusted
2018-12-01 07:50:52,2458453.82699,13.15
2018-12-01 12:04:32,2458454.00315,13.16
2018-12-01 13:51:07,2458454.07716,untrusted
2018-12-01 18:04:47,2458454.25332,13.16
2018-12-01 19:51:21,2458454.32733,13.15
2018-12-02 00:05:02,2458454.50350,13.15
2018-12-02 01:51:36,2458454.57750,13.15
2018-12-02 06:05:16,2458454.75366,13.16
2018-12-02 07:51:51,2458454.82767,untrusted
2018-12-02 12:05:31,2458455.00383,13.15
2018-12-02 13:52:05,2458455.07784,untrusted
2018-12-02 18:05:43,2458455.25397,null
2018-12-02 19:52:20,2458455.32801,untrusted
2018-12-03 01:52:34,2458455.57817,untrusted
2018-12-03 07:52:49,2458455.82834,untrusted
2018-12-03 13:53:03,2458456.07851,untrusted
