###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57297.562565  12.961  0.003 23745   72 o  0  34.31  90.26700 -18.96770  3251.25  8225.74 4.21 3.47 -64.1 -0.489 18.45 19.59 02a57297o0393o
57298.559388  12.939  0.003 24237   75 o  0  23.41  90.26700 -18.96770  3262.92  8228.38 4.15 3.50 -61.0 -0.477 18.50 19.68 02a57298o0545o
57298.583288  12.952  0.003 23948   68 o  0  59.99  90.26700 -18.96770  3256.60  8233.04 4.06 3.36 -65.0 -0.492 18.58 19.76 02a57298o0582o
57304.558035  13.421  0.003 15541   49 c  0  49.16  90.26700 -18.96770  3252.87  8229.42 4.15 3.47  87.4 -0.459 19.34 21.26 02a57304o0524c
57304.561855  13.432  0.003 15384   49 c  0  37.04  90.26700 -18.96770  3246.96  8229.31 4.26 3.54 -88.4 -0.448 19.30 21.24 02a57304o0530c
57304.591997  13.435  0.003 15347   47 c  0  56.76  90.26700 -18.96770  4675.94  6779.22 4.16 3.48 -80.6 -0.460 19.35 21.33 02a57304o0577c
57304.613191  13.439  0.003 15291   48 c  0  54.07  90.26700 -18.96770  4668.15  6784.03 4.19 3.36 -80.4 -0.453 19.36 21.37 02a57304o0605c
57308.556074  13.430  0.003 15419   47 c  0  29.52  90.26700 -18.96770  3252.45  8238.86 4.44 3.69 -66.9 -0.440 19.40 21.39 02a57308o0535c
57308.579308  13.423  0.003 15523   45 c  0  42.01  90.26700 -18.96770  3245.09  8241.50 4.40 3.68 -66.1 -0.445 19.45 21.46 02a57308o0570c
57308.586973  13.438  0.003 15298   45 c  0  60.92  90.26700 -18.96770  4678.87  6787.47 4.23 3.71 -71.8 -0.442 19.44 21.49 02a57308o0582c
57308.619135  13.442  0.003 15254   45 c  0  46.29  90.26700 -18.96770  4665.29  6794.05 4.19 3.64 -73.0 -0.439 19.43 21.41 02a57308o0627c
57317.487591  13.440  0.003 15271   48 c  0  33.15  90.26700 -18.96770  3330.88  8244.15 4.62 3.80 -65.1 -0.454 19.18 21.08 02a57317o0406c
57317.503599  13.438  0.003 15304   48 c  0  22.46  90.26700 -18.96770  3326.90  8245.84 4.68 3.78 -68.2 -0.458 19.23 21.18 02a57317o0431c
57317.523636  13.424  0.003 15503   47 c  0  71.29  90.26700 -18.96770  4760.23  6793.13 4.37 3.75 -69.5 -0.461 19.30 21.27 02a57317o0457c
57317.544709  13.438  0.003 15305   45 c  0  71.39  90.26700 -18.96770  4752.85  6796.27 4.29 3.62 -71.9 -0.469 19.37 21.35 02a57317o0483c
57318.507113  12.923  0.003 24591   70 o  0  55.81  90.26700 -18.96770  3252.70  8245.48 4.32 3.43 -68.2 -0.497 18.67 20.13 02a57318o0486o
57321.532685  12.941  0.004 24190   90 o  0  15.19  90.26700 -18.96770  3253.13  8257.99 4.35 3.32 -71.9 -0.493 18.08 18.94 02a57321o0505o
57321.555263  12.926  0.003 24522   76 o  0  38.97  90.26700 -18.96770  3250.38  8262.28 4.28 3.26 -71.8 -0.491 18.24 19.18 02a57321o0538o
57321.573407  12.936  0.003 24305   75 o  0  49.44  90.26700 -18.96770  4681.56  6806.21 4.08 3.14 -77.8 -0.476 18.25 19.21 02a57321o0565o
57321.596774  12.947  0.003 24059   74 o  0  35.14  90.26700 -18.96770  5977.37  3829.98 4.17 3.79 -19.2 -0.491 18.24 19.20 02a57321o0600o
57329.555854  12.911  0.003 24871   76 o  0  35.07  90.26700 -18.96770  3294.62  8287.92 4.67 3.44 -72.2 -0.463 18.53 19.94 02a57329o0543o
57329.584142  12.942  0.003 24161   76 o  0  27.99  90.26700 -18.96770  7468.77  2393.67 4.99 3.90   5.0 -0.473 18.40 19.67 02a57329o0584o
57329.614544  12.961  0.003 23749   69 o  0  71.31  90.26700 -18.96770  6027.54  3855.58 4.37 3.80 -18.5 -0.468 18.50 19.83 02a57329o0628o
57329.643585  12.959  0.003 23795   72 o  0  58.16  90.26700 -18.96770  6033.28  3855.49 4.32 3.80 -16.3 -0.473 18.52 19.83 02a57329o0670o
